age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,city,countDetails,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
25,4,8279,239,1,1,1,0,0,829,1,0,0,0,0,175,0,1,0
22,5,663,13,1,1,1,0,0,921,0.850000024,0,0,0,0,138,0,1,0
20,3,22187,1015,1,1,0,0,0,654,0.119999997,0,0,0,0,77.30000305,0,0,0
24,18,7339,180,1,0,1,0,0,962,0.810000002,0,0,0,0,194,0,1,1
24,13,18672,492,0,1,0,0,0,945,0.649999976,0,0,0,0,318,0,1,1
23,6,19091,1348,1,0,1,0,0,283,0.810000002,0,0,0,0,175,0,1,0
20,14,29984,2389,1,1,1,0,0,383,0.879999995,0,0,0,0,81.40000153,0,1,0
24,1,5979,147,1,1,1,0,0,945,0.810000002,0,0,0,0,315,0,0,1
22,3,10450,421,1,1,0,0,0,57,0.540000021,0,0,0,0,148,0,1,1
20,5,2612,117,1,1,0,0,0,72,0.920000017,0,0,0,0,136,0,1,1
20,12,32450,787,1,1,1,0,1,1105,0.850000024,0,0,0,0,171,0,1,0
22,4,1710,116,0,0,1,0,0,292,0.959999979,0,0,0,0,190,0,1,0
25,13,26842,643,0,1,1,0,0,817,0.579999983,0,0,0,0,163,0,1,0
22,2,20266,1148,1,1,1,0,0,680,1,0,0,0,0,162,0,1,0
20,4,16683,647,1,0,0,0,1,989,0.039999999,0,0,0,0,95.80000305,0,1,0
25,7,3413,86,1,0,1,0,0,1102,0.920000017,0,0,0,0,57.79999924,0,1,0
19,13,8310,143,1,0,0,0,0,433,0.810000002,0,0,0,0,125,0,0,0
21,1,25903,982,1,1,1,0,0,160,0.620000005,0,0,0,0,137,0,1,1
21,27,33018,812,1,1,1,0,1,598,0.850000024,0,0,0,0,103,0,1,0
22,15,2502,25,1,0,0,0,0,611,0,0,0,0,0,152,0,1,0
24,5,22847,1282,1,0,0,0,1,704,0.189999998,0,0,0,0,164,0,1,0
21,13,7407,125,1,1,1,0,0,579,1,0,0,0,0,142,0,1,0
19,30,16096,533,1,1,0,0,1,734,0.879999995,0,0,0,0,136,0,1,1
20,18,6962,361,1,1,1,0,0,587,1,0,0,0,0,144,0,1,0
22,30,30863,1901,0,0,1,0,0,326,0.689999998,0,0,0,0,177,0,1,1
24,3,51339,2926,1,0,0,0,0,301,0.850000024,0,0,0,0,143,0,1,0
21,7,3471,38,0,0,1,0,0,1065,0.959999979,0,0,0,0,183,0,1,1
25,18,12050,478,0,1,1,0,0,1098,0.850000024,0,0,0,0,162,0,1,0
24,12,26982,710,1,0,1,0,1,290,1,0,0,0,0,138,0,0,0
24,7,1820,25,1,1,0,0,0,737,0.959999979,0,0,0,0,128,0,1,1
22,18,11507,194,1,0,0,0,1,585,0.959999979,0,0,0,0,76.90000153,0,0,0
21,10,17655,468,1,1,1,0,1,517,0.920000017,0,0,0,0,138,0,1,0
21,11,47000,1469,1,0,0,0,1,589,0.810000002,0,0,0,0,144,0,1,0
19,8,12754,368,1,1,1,0,0,737,0.769999981,0,0,0,0,144,0,1,1
19,3,7694,143,1,1,1,0,0,729,0.119999997,0,0,0,0,135,0,1,0
25,20,4372,134,1,0,0,0,0,479,0.920000017,0,0,0,0,139,0,1,0
22,5,9700,124,1,0,0,0,0,1047,0.189999998,0,0,0,0,183,0,1,0
20,3,10531,360,1,0,0,0,1,579,0.879999995,0,0,0,0,141,0,0,0
19,8,16458,486,1,0,1,0,0,711,0.850000024,0,0,0,0,0,0,1,1
20,5,264,6,0,1,0,1,1,491,0.850000024,0,0,0,0,0,0,1,0
25,15,18475,1065,1,1,0,1,1,420,1,0,0,0,0,139,0,1,0
22,5,7045,316,1,0,1,0,1,374,1,0,0,0,0,139,0,1,0
25,4,52884,1717,1,1,1,0,0,945,0.769999981,0,0,0,0,318,0,1,1
22,12,37740,1016,1,0,1,0,0,948,0.920000017,0,0,0,0,133,0,1,1
20,4,6730,297,0,1,0,0,0,778,0.959999979,0,0,0,0,29.89999962,0,1,1
24,4,18395,328,0,0,1,0,0,1099,0.579999983,0,0,0,0,0,0,0,0
24,6,6756,81,1,0,1,0,1,72,0.899999976,0,0,0,0,136,0,1,1
21,4,10976,158,1,0,0,0,0,46,0.879999995,0,0,0,0,135,0,1,1
22,5,1309,89,1,1,0,0,1,579,0.810000002,0,0,0,0,140,0,1,1
26,1,1448,37,0,0,1,0,0,945,0.349999994,0,0,0,0,309,0,1,1
23,19,31448,754,0,0,1,0,1,902,0.810000002,0,0,0,0,81,0,1,0
20,8,7979,138,1,1,1,0,1,425,0.959999979,0,0,0,0,179,0,1,0
19,4,48980,2358,1,0,1,0,0,1085,0.620000005,0,0,0,0,167,0,1,1
22,3,54332,1196,1,1,0,0,1,66,0.810000002,0,0,0,0,162,0,1,1
20,28,33528,3679,0,1,0,0,1,72,0.850000024,0,0,0,0,138,0,1,1
22,11,6495,292,1,0,0,0,0,95,0.620000005,0,0,0,0,77,0,1,1
23,30,11989,272,1,0,1,1,0,156,1,0,0,0,0,95.59999847,0,1,0
20,13,2844,35,1,0,1,0,0,830,0.810000002,0,0,0,0,131,0,1,0
20,1,27174,1306,1,0,0,0,1,1099,0.349999994,0,0,0,0,168,0,0,1
25,11,4709,203,1,1,1,0,0,96,0.810000002,0,0,0,0,76.09999847,0,1,0
21,21,20642,530,1,0,0,0,0,905,0.850000024,0,0,0,0,80.09999847,0,1,0
23,7,18216,301,1,1,1,0,0,2,0.879999995,0,0,0,0,149,0,1,1
19,7,9078,335,1,0,0,1,1,330,0.689999998,0,0,0,0,188,0,1,0
21,3,18187,772,0,0,1,0,1,444,0.959999979,0,0,0,0,95,0,1,0
24,6,17115,610,1,0,1,0,1,579,0.850000024,0,0,0,0,140,0,0,0
20,14,51560,6155,1,0,0,0,1,912,0.920000017,0,0,0,0,175,0,1,1
23,20,23177,1194,0,0,1,0,1,1064,1,0,0,0,0,166,0,1,0
23,1,52,0,1,0,1,0,0,633,0.540000021,0,0,0,0,371,0,1,1
20,13,4829,348,0,0,1,0,0,909,1,0,0,0,0,198,0,1,0
20,4,31435,1978,1,1,1,0,0,136,0.419999987,0,0,0,0,79.69999695,0,1,0
24,27,28159,638,1,1,0,0,0,790,0.769999981,0,0,0,0,161,0,1,0
22,11,5550,450,0,1,0,0,0,330,1,0,0,0,0,144,0,1,1
19,8,1255,52,1,1,0,0,0,1098,0.5,0,0,0,0,160,0,1,0
23,4,5177,467,1,1,1,0,1,261,0.959999979,0,0,0,0,178,0,1,1
26,11,25845,1898,1,1,1,0,0,915,0.730000019,0,0,0,0,302,0,1,1
25,7,8143,317,0,0,1,0,1,482,0.959999979,0,0,0,0,495,0,1,1
24,10,10861,593,1,0,0,0,0,802,1,0,0,0,0,453,0,1,1
21,21,52465,3739,1,0,1,0,0,332,0.270000011,0,0,0,0,51.40000153,0,1,0
24,4,1076,20,1,1,1,0,0,695,0.850000024,0,0,0,0,160,0,1,0
22,8,19690,551,1,0,1,0,1,133,0.730000019,0,0,0,0,258,0,1,1
20,19,28293,1027,0,0,0,0,0,72,0.5,0,0,0,0,163,0,1,0
24,17,43796,2750,1,1,1,0,1,291,0,0,0,0,0,139,0,1,0
19,7,5101,158,1,0,0,0,0,541,1,1,0,0,1,79.30000305,0,1,1
20,4,9850,241,1,0,0,0,1,877,0.349999994,0,0,0,0,174,0,1,0
19,4,21224,316,1,0,0,0,1,466,0.230000004,0,0,0,0,145,0,1,0
19,9,4335,355,1,0,0,0,0,139,0.5,0,0,0,0,106,0,1,0
19,4,12754,644,1,0,0,0,0,332,0.649999976,0,0,0,0,50.40000153,0,1,0
26,4,3441,88,0,0,1,0,0,678,0.850000024,0,0,0,0,220,0,1,1
19,10,18731,644,1,0,0,0,1,540,0.419999987,0,0,0,0,92,0,1,0
21,16,5450,298,1,0,0,0,1,553,0.850000024,0,0,0,0,136,0,1,0
19,1,29903,2146,1,1,0,0,0,1105,0.150000006,0,0,0,0,173,0,1,0
24,11,14526,1116,0,0,1,0,1,366,1,0,0,0,0,185,0,1,0
24,15,3769,276,1,1,0,0,0,1027,0.879999995,0,0,0,0,106,0,1,1
20,6,7662,189,1,0,0,0,0,276,0.769999981,0,0,0,0,186,0,1,0
19,6,7571,396,0,0,1,0,0,1070,0.730000019,0,0,0,0,131,0,1,0
19,13,7842,142,1,1,0,0,0,1075,0.769999981,0,0,0,0,195,0,1,1
23,4,3959,188,1,0,0,0,1,945,0.810000002,0,0,0,0,315,0,1,1
23,1,1797,40,0,0,1,0,1,509,0.879999995,0,0,0,0,222,0,1,0
20,6,30847,1861,1,0,0,0,0,1105,1,0,0,0,0,173,0,1,1
23,2,12671,338,1,0,1,0,0,456,0.150000006,0,0,0,0,306,0,0,1
20,11,7465,247,1,1,0,0,0,94,0.810000002,0,0,0,0,112,0,1,0
20,12,23168,520,1,0,0,0,1,94,0.460000008,0,0,0,0,77,0,1,1
25,25,27375,885,0,0,1,0,1,94,0.850000024,0,0,0,0,173,0,1,0
20,12,15236,764,1,0,0,0,0,105,0.649999976,0,0,0,0,85.09999847,0,1,0
19,5,1167,29,1,1,1,0,0,587,0.579999983,0,0,0,0,145,0,1,0
19,11,22226,2338,1,1,1,0,1,1105,0.879999995,0,0,0,0,173,0,1,0
20,5,19653,759,0,0,1,0,0,923,0.579999983,0,0,0,0,106,0,1,0
19,11,13194,225,1,1,0,0,1,72,0.850000024,0,0,0,0,121,0,1,0
22,13,47475,2137,1,1,0,0,1,1100,0.810000002,0,0,0,0,167,0,1,0
21,14,24369,1559,1,1,1,0,0,1023,0.879999995,0,0,0,0,153,0,1,1
22,3,1359,42,1,0,0,0,1,984,0.810000002,0,0,0,0,93.90000153,0,1,0
24,9,7014,216,1,1,0,0,1,1105,0.879999995,0,0,0,0,153,0,1,0
23,18,20823,864,1,1,1,0,1,1105,0.850000024,0,0,0,0,173,0,1,0
19,5,12344,234,1,0,0,0,0,392,0.800000012,0,0,0,0,187,0,1,1
19,6,1934,57,1,0,0,0,0,72,0.230000004,0,0,0,0,136,0,1,0
19,9,3217,180,1,1,1,0,1,117,0.879999995,0,0,0,0,89.09999847,0,0,0
24,4,14267,670,0,0,1,0,0,111,0.540000021,0,0,0,0,170,0,1,0
19,11,6819,164,1,1,1,0,1,1105,0.850000024,0,0,0,0,177,0,1,0
19,9,5270,64,0,1,1,0,1,887,0.579999983,0,0,0,0,158,0,1,0
25,3,44,3,0,0,1,0,0,1105,0.5,0,0,0,0,146,0,1,1
22,4,690,6,0,1,0,1,0,482,0.920000017,0,0,0,0,475,0,1,1
21,3,1058,62,1,0,0,0,0,94,0.379999995,0,0,0,0,63.20000076,0,1,0
21,20,44883,3556,0,0,1,0,0,1105,0.5,1,0,0,1,183,0,1,1
21,20,17092,461,1,0,0,0,1,1105,0.769999981,0,0,0,0,182,0,1,0
20,6,49039,4269,1,1,0,0,0,1105,0.419999987,0,0,0,0,153,0,1,1
22,5,19421,323,1,1,0,0,0,72,0.649999976,0,0,0,0,134,0,0,1
23,16,164425,9288,1,1,1,0,1,482,1,0,0,0,0,490,0,1,1
23,13,12405,238,0,1,1,0,0,932,0.879999995,0,0,0,0,140,0,1,1
25,3,5481,164,1,0,0,0,0,482,0.730000019,0,0,0,0,493,0,1,1
19,16,4940,300,1,0,0,0,1,916,1,0,0,0,0,106,0,1,0
23,11,4621,88,1,1,1,0,1,482,0.850000024,0,0,0,0,489,0,1,1
21,30,4946,115,1,1,0,0,0,1045,1,0,0,0,0,185,0,1,0
21,3,3075,106,1,0,0,0,0,921,0.879999995,0,0,0,0,138,0,1,0
24,8,24814,500,0,0,0,0,0,1068,0.850000024,0,0,0,0,414,0,1,1
19,4,22468,1306,1,1,1,0,1,433,0.689999998,0,0,0,0,126,0,1,0
20,7,9139,333,1,0,1,0,1,465,0.810000002,0,0,0,0,65.69999695,0,0,0
22,4,6912,242,1,1,1,0,0,112,0.899999976,0,0,0,0,146,0,0,0
20,2,8482,234,1,0,0,0,0,886,0.649999976,0,0,0,0,180,0,1,1
20,3,1693,43,1,0,1,0,0,330,0.540000021,0,0,0,0,187,0,1,1
19,5,4098,426,0,1,1,0,1,951,0.850000024,0,0,0,0,130,0,1,0
21,8,17539,452,0,0,1,0,1,2,0.649999976,0,0,0,0,166,0,1,1
23,5,297,4,0,0,1,0,0,323,0.620000005,0,0,0,0,425,0,1,1
20,8,18269,735,1,1,1,0,1,72,1,0,0,0,0,139,0,1,0
19,5,14676,1003,1,1,0,0,1,3,0.810000002,0,0,0,0,131,0,1,0
20,6,34942,1235,1,1,1,0,1,482,1,0,0,0,0,140,0,1,0
22,3,10921,729,1,1,1,0,0,353,0.850000024,0,0,0,0,54.70000076,0,1,1
23,4,34272,1046,1,0,0,0,1,132,0.460000008,0,0,0,0,493,0,1,1
21,5,5362,93,1,0,0,0,0,579,0.850000024,1,0,0,1,137,0,1,1
20,10,25724,862,1,0,0,0,0,733,0.5,0,0,0,0,190,0,0,1
21,4,13493,481,0,0,1,0,0,1098,0.649999976,0,0,0,0,159,0,1,0
20,19,22291,640,1,1,0,0,1,94,0.920000017,0,0,0,0,96.69999695,0,1,0
20,6,18459,1106,1,0,1,0,0,1055,0.349999994,0,0,0,0,142,0,1,0
